demand_elec.fix,demand_heat.fix,elec_net_dyn.emission_factor,elec_net_dyn.variable_costs,t_wp_A_W70.eff_out_1,t_wp_A_W70.max,pv.fix
81.2459408,871.8705117,0.052,0.15,1.69,0.326712571,0
65.72224561,1144.805818,0.054,0.15,1.66,0.327860169,0
58.38810962,1149.040111,0.052,0.15,1.66,0.327860169,0
56.7872103,1148.202544,0.052,0.15,1.72,0.325564972,0
57.13969678,1139.991201,0.052,0.15,1.72,0.325564972,0
60.08293127,1105.24674,0.051,0.15,1.78,0.323269774,0
64.40021509,1089.367272,0.034,0.15,1.63,0.329007768,0
70.30346163,1105.167787,0.03,0.15,1.63,0.329007768,0
82.92672302,1171.002534,0.029,0.15,1.57,0.331302966,0
110.0844827,1293.172496,0.028,0.15,1.69,0.326712571,0.072131217
133.8931564,1398.100345,0.045,0.15,1.78,0.323269774,0.190382917
145.3871205,1285.012944,0.044,0.15,1.84,0.320974576,0.173502134
121.6123566,1125.626869,0.043,0.15,1.78,0.323269774,0.163922505
116.1931317,1064.858251,0.043,0.15,1.66,0.327860169,0.143084468
121.9999606,1059.205505,0.064,0.15,1.66,0.327860169,0.031178706
158.9682937,1062.765483,0.066,0.15,1.63,0.329007768,0.006320978
150.0849253,1042.658869,0.067,0.15,1.54,0.332450565,0
157.2101195,1028.424571,0.064,0.15,1.45,0.335893362,0
143.721936,1015.89474,0.061,0.15,1.24,0.343926554,0
124.3132768,1013.571693,0.058,0.15,1.03,0.351959746,0
114.008252,1024.194352,0.06,0.15,1.24,0.343926554,0
102.9550841,1070.360676,0.061,0.15,1.33,0.340483757,0
82.1857123,1118.500116,0.057,0.15,1.33,0.340483757,0
68.00316993,1147.396613,0.053,0.15,1.27,0.342778955,0
61.85499731,1167.450294,0.054,0.15,1.24,0.343926554,0
60.20026329,1179.489853,0.05,0.15,1.33,0.340483757,0
59.25497837,1185.279842,0.046,0.15,1.3,0.341631356,0
58.77591721,1185.011356,0.036,0.15,1.33,0.340483757,0
59.74466118,1182.134054,0.055,0.15,1.15,0.34736935,0
67.37922036,1192.717456,0.058,0.15,1,0.353107345,0
89.78639795,1221.807929,0.17,0.15,1,0.353107345,0
148.3761277,1259.798851,0.177,0.15,1,0.353107345,0
261.5027575,1281.278454,0.195,0.15,1,0.353107345,0
311.2847658,1306.335643,0.19,0.15,1.09,0.349664548,0.037704108
302.4182836,1291.939691,0.194,0.15,1.18,0.346221751,0.088794123
303.2728767,1239.503289,0.189,0.15,1.36,0.339336158,0.083066703
269.2765897,1185.178783,0.184,0.15,1.54,0.332450565,0.116180936
220.4144712,1161.945791,0.177,0.15,1.42,0.33704096,0.158184451
205.0586693,1169.997822,0.179,0.15,1.51,0.333598164,0.112531709
232.8284879,1200.638349,0.177,0.15,1.36,0.339336158,0.036417085
230.5041853,1122.248548,0.178,0.15,1.24,0.343926554,0
199.7975616,1087.524878,0.172,0.15,1,0.353107345,0
169.7109545,1067.408214,0.169,0.15,1,0.353107345,0
150.2670496,1076.454511,0.175,0.15,1,0.353107345,0
137.3886268,1097.77745,0.181,0.15,1,0.353107345,0
129.9796644,1146.737295,0.182,0.15,1,0.353107345,0
111.6054797,1216.742849,0.183,0.15,1,0.353107345,0
89.02906461,1282.636929,0.196,0.15,1,0.353107345,0
