elec_grid_buy.emission_factor,elec_grid_sell.emission_factor,elec_grid_buy.variable_costs,elec_grid_sell.variable_costs
0.27045636,-0.27045636,0.3,-0.06
0.244512874,-0.244512874,0.3,-0.06
0.240455587,-0.240455587,0.3,-0.06
0.238484002,-0.238484002,0.3,-0.06
0.229809934,-0.229809934,0.3,-0.06
0.223386775,-0.223386775,0.3,-0.06
0.215818206,-0.215818206,0.3,-0.06
0.210645995,-0.210645995,0.3,-0.06
0.207432837,-0.207432837,0.3,-0.06
0.212552103,-0.212552103,0.3,-0.06
0.207146137,-0.207146137,0.3,-0.06
0.198197393,-0.198197393,0.3,-0.06
0.198302944,-0.198302944,0.3,-0.06
0.197970277,-0.197970277,0.3,-0.06
0.197990484,-0.197990484,0.3,-0.06
0.200320195,-0.200320195,0.3,-0.06
0.195515191,-0.195515191,0.3,-0.06
0.194707538,-0.194707538,0.3,-0.06
0.193848774,-0.193848774,0.3,-0.06
0.196078731,-0.196078731,0.3,-0.06
0.197731111,-0.197731111,0.3,-0.06
0.200465535,-0.200465535,0.3,-0.06
0.203740062,-0.203740062,0.3,-0.06
0.204361439,-0.204361439,0.3,-0.06
0.212331606,-0.212331606,0.3,-0.06
0.207349888,-0.207349888,0.3,-0.06
0.211038311,-0.211038311,0.3,-0.06
0.214577527,-0.214577527,0.3,-0.06
0.214457608,-0.214457608,0.3,-0.06
0.218713049,-0.218713049,0.3,-0.06
0.222299815,-0.222299815,0.3,-0.06
0.237679989,-0.237679989,0.3,-0.06
0.259622051,-0.259622051,0.3,-0.06
0.276618322,-0.276618322,0.3,-0.06
0.273713777,-0.273713777,0.3,-0.06
0.267045251,-0.267045251,0.3,-0.06
0.265569203,-0.265569203,0.3,-0.06
0.268575728,-0.268575728,0.3,-0.06
0.296257318,-0.296257318,0.3,-0.06
0.338694169,-0.338694169,0.3,-0.06
0.376236249,-0.376236249,0.3,-0.06
0.391753377,-0.391753377,0.3,-0.06
0.406554392,-0.406554392,0.3,-0.06
0.418955918,-0.418955918,0.3,-0.06
0.432268964,-0.432268964,0.3,-0.06
0.436405605,-0.436405605,0.3,-0.06
0.442535917,-0.442535917,0.3,-0.06
0.441282427,-0.441282427,0.3,-0.06
0.438130254,-0.438130254,0.3,-0.06
0.440947658,-0.440947658,0.3,-0.06
0.447520538,-0.447520538,0.3,-0.06
0.442862091,-0.442862091,0.3,-0.06
0.436264638,-0.436264638,0.3,-0.06
0.439819031,-0.439819031,0.3,-0.06
0.456305939,-0.456305939,0.3,-0.06
0.463124354,-0.463124354,0.3,-0.06
0.469762219,-0.469762219,0.3,-0.06
0.475824779,-0.475824779,0.3,-0.06
0.483151964,-0.483151964,0.3,-0.06
0.490229019,-0.490229019,0.3,-0.06
0.500951509,-0.500951509,0.3,-0.06
0.512811996,-0.512811996,0.3,-0.06
0.525089189,-0.525089189,0.3,-0.06
0.539878328,-0.539878328,0.3,-0.06
0.543375365,-0.543375365,0.3,-0.06
