weather.temperature,direkt_horizontal_W_m2,diffuse_horizontal_W_m2,global_horizontal_W_m2
2.2,0,0,0
2.2,0,0,0
2.4,0,0,0
2.4,0,0,0
2.6,0,0,0
2.1,0,0,0
2.1,0,0,0
1.9,0,0,0
2.3,0,0,0
2.6,7,29,36
2.8,61,45,106
2.6,48,75,123
2.2,42,84,126
2.2,48,73,121
2.1,0,42,42
1.8,0,6,6
1.5,0,0,0
0.8,0,0,0
0.1,0,0,0
0.8,0,0,0
1.1,0,0,0
1.1,0,0,0
0.9,0,0,0
0.8,0,0,0
1.1,0,0,0
1,0,0,0
1.1,0,0,0
0.5,0,0,0
-0.1,0,0,0
-0.5,0,0,0
-0.7,0,0,0
-0.2,0,0,0
0.3,0,0,0
0.6,2,29,31
1.2,17,57,74
1.8,8,75,83
1.4,19,86,105
1.7,51,69,120
1.2,25,53,78
0.8,2,19,21
-0.4,0,0,0
-0.1,0,0,0
-1.4,0,0,0
-1.1,0,0,0
-1.6,0,0,0
-2.8,0,0,0
-2.6,0,0,0
-3.8,0,0,0
-5.1,0,0,0
-4.6,0,0,0
-5,0,0,0
-5.5,0,0,0
-5.5,0,0,0
-5.5,0,0,0
-7.4,0,0,0
-7.3,0,0,0
-5.3,0,0,0
-3,26,27,53
-1.8,104,31,135
-0.3,68,74,142
0.2,96,71,167
0,44,79,123
-0.4,6,55,61
-0.5,0,6,6
-0.9,0,0,0
-1,0,0,0
-0.7,0,0,0
-0.6,0,0,0
-0.2,0,0,0
0,0,0,0
0.2,0,0,0
0.3,0,0,0
0.2,0,0,0
0.3,0,0,0
0.3,0,0,0
0.5,0,0,0
0.1,0,0,0
0.2,0,0,0
0.4,0,0,0
0,0,0,0
0,0,0,0
0.1,1,33,34
0.3,0,36,36
0.5,0,27,27
0.6,0,32,32
0.6,0,33,33
0.5,0,37,37
0.6,0,13,13
0.2,0,0,0
0.2,0,0,0
0.3,0,0,0
0.1,0,0,0
0.1,0,0,0
0,0,0,0
-0.4,0,0,0
-0.6,0,0,0
-0.8,0,0,0
-1.1,0,0,0
-1.5,0,0,0
-1.7,0,0,0
-2,0,0,0
-2.2,0,0,0
-2.6,0,0,0
-2.7,0,0,0
-2.8,0,0,0
-2.7,0,21,21
-2.5,0,46,46
-2.1,8,74,82
-2,8,81,89
-1.7,24,72,96
-2.1,5,48,53
-2.5,16,18,34
-2.4,0,0,0
-2.9,0,0,0
-3.5,0,0,0
-3.8,0,0,0
-4,0,0,0
-4.2,0,0,0
-4.2,0,0,0
-3.4,0,0,0
-3.4,0,0,0
-2.5,0,0,0
-1.2,0,0,0
-0.4,0,0,0
0.4,0,0,0
1.1,0,0,0
1.6,0,0,0
1.8,0,0,0
1.9,0,1,1
1.7,0,15,15
1.9,0,48,48
1.9,0,68,68
1.9,0,60,60
2,0,57,57
2.3,0,47,47
2,3,19,22
1.7,0,0,0
1.9,0,0,0
1.8,0,0,0
1.3,0,0,0
1.2,0,0,0
1.3,0,0,0
0.8,0,0,0
0.7,0,0,0
1,0,0,0
1.3,0,0,0
1.4,0,0,0
1,0,0,0
0.6,0,0,0
0,0,0,0
-0.5,0,0,0
-0.8,0,0,0
-0.7,0,1,1
0.3,0,13,13
0.5,0,22,22
0.4,0,49,49
0.5,42,94,136
0.9,27,86,113
0.6,1,51,52
0.8,0,13,13
1,0,0,0
1.4,0,0,0
1.5,0,0,0
1.6,0,0,0
1.6,0,0,0
2,0,0,0
2.2,0,0,0
2.1,0,0,0
3,0,0,0
3.6,0,0,0
4,0,0,0
4.5,0,0,0
4.8,0,0,0
4.5,0,0,0
4.8,0,0,0
5.2,0,0,0
5.7,0,2,2
5.8,6,33,39
7.2,58,64,122
7.7,56,91,147
8.5,17,99,116
8.3,2,72,74
8.7,6,57,63
8.8,0,10,10
8.7,0,0,0
8.2,0,0,0
6.4,0,0,0
5.3,0,0,0
4.4,0,0,0
2.9,0,0,0
2.6,0,0,0
2.6,0,0,0
2.5,0,0,0
1.8,0,0,0
1.8,0,0,0
1.7,0,0,0
1.8,0,0,0
1.5,0,0,0
1.1,0,0,0
1.3,0,0,0
1.6,0,5,5
2.5,21,30,51
3,20,64,84
3.2,78,74,152
3.1,16,94,110
3.2,18,85,103
2.8,40,57,97
3,0,20,20
2.9,0,0,0
2.4,0,0,0
2.3,0,0,0
2.1,0,0,0
2.1,0,0,0
1.9,0,0,0
2,0,0,0
2,0,0,0
2,0,0,0
1.6,0,0,0
1.3,0,0,0
1.3,0,0,0
0.9,0,0,0
0.6,0,0,0
0,0,0,0
-0.1,0,0,0
0.5,0,0,0
0.4,0,17,17
0.4,0,46,46
0.5,0,66,66
0.7,0,61,61
0.9,0,41,41
0.6,0,39,39
0.7,20,14,34
0.4,0,0,0
0.4,0,0,0
0.4,0,0,0
0.4,0,0,0
0.2,0,0,0
0,0,0,0
-0.3,0,0,0
-0.9,0,0,0
-1.3,0,0,0
-1.4,0,0,0
-1.9,0,0,0
-2.1,0,0,0
-2.2,0,0,0
-2.5,0,0,0
-2.5,0,0,0
-2.2,0,0,0
-1.8,0,0,0
-1.4,0,16,16
-1.3,13,70,83
-0.7,19,93,112
-0.1,40,101,141
0.2,57,92,149
0.6,27,69,96
0.7,0,14,14
0.6,0,0,0
0.9,0,0,0
1.2,0,0,0
1.6,0,0,0
2.1,0,0,0
1.8,0,0,0
2,0,0,0
2.3,0,0,0
2.3,0,0,0
2.3,0,0,0
1.6,0,0,0
1.8,0,0,0
2.3,0,0,0
2.2,0,0,0
2,0,0,0
2.7,0,0,0
2.4,0,2,2
2.5,0,32,32
2.7,6,70,76
2.5,0,58,58
2.4,0,47,47
2.6,0,50,50
2.2,2,61,63
1.9,2,31,33
2,0,0,0
2.1,0,0,0
1.9,0,0,0
2.2,0,0,0
2.2,0,0,0
2.7,0,0,0
2.6,0,0,0
2.9,0,0,0
2.8,0,0,0
2.5,0,0,0
2.4,0,0,0
2.3,0,0,0
2.5,0,0,0
2.6,0,0,0
2.4,0,0,0
2.4,0,0,0
2.7,0,0,0
3.4,0,20,20
3.9,1,61,62
4.1,2,84,86
4.1,0,72,72
3.6,0,45,45
4,0,40,40
4.3,0,12,12
4.2,0,0,0
4.5,0,0,0
4.4,0,0,0
4.6,0,0,0
4.8,0,0,0
5.1,0,0,0
4.9,0,0,0
5.8,0,0,0
5.9,0,0,0
6,0,0,0
5.6,0,0,0
5.4,0,0,0
6.1,0,0,0
5.3,0,0,0
5.2,0,0,0
6.5,0,0,0
6.5,0,1,1
7.6,0,16,16
7.2,0,35,35
7.5,0,44,44
8,0,50,50
6.3,0,38,38
6.5,0,37,37
7.2,0,7,7
6.9,0,0,0
7.2,0,0,0
6.9,0,0,0
6.9,0,0,0
6.3,0,0,0
5.9,0,0,0
5.5,0,0,0
5.2,0,0,0
5.4,0,0,0
4.9,0,0,0
5.1,0,0,0
4.8,0,0,0
4,0,0,0
4.2,0,0,0
3.8,0,0,0
3.7,0,0,0
4.5,0,2,2
4.9,0,33,33
5.6,4,67,71
5.9,1,78,79
6.6,1,81,82
7.2,0,62,62
7.7,1,56,57
7.4,0,21,21
7.6,0,0,0
7.2,0,0,0
